mu,eta,success,max_pitch,settling_time,max_overshoot
0.05,0.0,False,45.83927478411492,,
0.05,0.1,False,45.20904016883476,,
0.05,0.2,False,45.6355356337446,,
0.05,0.3,False,46.05140225323561,,
0.05,0.4,False,45.730150469404805,,
0.05,0.5,False,46.269344753012525,,
0.1,0.0,False,45.87356402071392,,
0.1,0.1,False,46.19793954998031,,
0.1,0.2,False,45.778112061473315,,
0.1,0.3,False,45.903908406307416,,
0.1,0.4,False,45.82811459312185,,
0.1,0.5,False,46.1794095021618,,
0.15,0.0,False,45.681801899695905,,
0.15,0.1,False,45.54633792946423,,
0.15,0.2,False,45.412782859809404,,
0.15,0.3,False,45.69263939876947,,
0.15,0.4,False,45.24138318246476,,
0.15,0.5,False,46.08464020243366,,
0.2,0.0,False,46.24393797020729,,
0.2,0.1,False,46.02908752632428,,
0.2,0.2,False,45.17915530088833,,
0.2,0.3,False,47.117431246632044,,
0.2,0.4,False,47.082516947827166,,
0.2,0.5,False,46.69099449630295,,
0.25,0.0,False,45.976877332457406,,
0.25,0.1,False,46.29847104751153,,
0.25,0.2,False,46.33311186628111,,
0.25,0.3,False,46.21456354826932,,
0.25,0.4,False,47.106720123854934,,
0.25,0.5,False,45.55000535966203,,
0.3,0.0,False,46.23469421725262,,
0.3,0.1,False,45.30926390769271,,
0.3,0.2,False,47.396942796440605,,
0.3,0.3,False,45.59718323768225,,
0.3,0.4,False,45.309990127204244,,
0.3,0.5,False,45.421929380615644,,
