mu,wind_ratio,wind_force,success,max_height,max_pitch,settling_time,landing_x,theta_peak
0.05,0.0,0.0,True,0.5041283210272857,14.415561605221143,2.0,0.0001453411207329192,14.415561605221143
0.05,0.1,0.9810000000000001,True,0.5041283210272857,14.411764111848722,0.14500000000000002,0.0002511990538715488,14.411764111848722
0.05,0.2,1.9620000000000002,True,0.5041283210272857,14.407966366616446,0.14500000000000002,0.00035705699261266146,14.407966366616446
0.05,0.3,2.943,True,0.5041283210272857,14.40416834338025,0.14500000000000002,0.0004629149368950482,14.40416834338025
0.05,0.4,3.9240000000000004,True,0.5041283210272857,14.400370027244948,0.14500000000000002,0.0005687728868192669,14.400370027244948
0.05,0.5,4.905,True,0.5041283210272857,14.396571397099281,0.14500000000000002,0.0006746308423092838,14.396571397099281
0.1,0.0,0.0,True,0.504171456532828,2.967947611873758,2.0,0.0006605887196219311,2.967947611873758
0.1,0.1,0.9810000000000001,True,0.504171456532828,2.967947611873758,2.0,0.0007961305221896286,2.967947611873758
0.1,0.2,1.9620000000000002,True,0.504171456532828,2.967947611873758,2.0,0.0009316720831399314,2.967947611873758
0.1,0.3,2.943,True,0.504171456532828,2.967947611873758,2.0,0.0010672134014487128,2.967947611873758
0.1,0.4,3.9240000000000004,True,0.504171456532828,2.967947611873758,2.0,0.0012027544752072526,2.967947611873758
0.1,0.5,4.905,True,0.504171456532828,2.967947611873758,2.0,0.001338295303381005,2.967947611873758
0.15,0.0,0.0,True,0.5041641821800226,5.307544959822487,2.0,-0.0027706640109062246,5.307544959822487
0.15,0.1,0.9810000000000001,True,0.5041641821800226,5.307544959822487,0.07300000000000001,-0.002640041252379834,5.307544959822487
0.15,0.2,1.9620000000000002,True,0.5041641821800226,5.307544959822487,0.07300000000000001,-0.0025094177358478795,5.307544959822487
0.15,0.3,2.943,True,0.5041641821800226,5.307544959822487,0.07300000000000001,-0.0023787934609429484,5.307544959822487
0.15,0.4,3.9240000000000004,True,0.5041641821800226,5.307544959822487,0.07300000000000001,-0.002248156451747902,5.307544959822487
0.15,0.5,4.905,True,0.5041641821800226,5.307544959822487,0.07300000000000001,-0.002117530667281522,5.307544959822487
0.2,0.0,0.0,True,0.5040966476006177,10.287153228761017,2.0,0.002323213381855477,10.287153228761017
0.2,0.1,0.9810000000000001,True,0.5040966476006177,10.287153228761017,0.08300000000000002,0.002441136929055962,10.287153228761017
0.2,0.2,1.9620000000000002,True,0.5040966476006177,10.287153228761017,0.08300000000000002,0.0025602011111659543,10.287153228761017
0.2,0.3,2.943,True,0.5040966476006177,10.287153228761017,0.08300000000000002,0.0026789407383645014,10.287153228761017
0.2,0.4,3.9240000000000004,True,0.5040966476006177,10.287153228761017,0.08300000000000002,0.0028015436986091272,10.287153228761017
0.2,0.5,4.905,True,0.5040966476006177,10.287153228761017,0.08300000000000002,0.0029225892049293298,10.287153228761017
0.25,0.0,0.0,False,0.5041204860893744,48.562751463672576,2.0,0,48.562751463672576
0.25,0.1,0.9810000000000001,False,0.5041204860893744,48.562751463672576,2.0,0,48.562751463672576
0.25,0.2,1.9620000000000002,False,0.5041204860893744,48.562751463672576,2.0,0,48.562751463672576
0.25,0.3,2.943,False,0.5041204860893744,48.562751463672576,2.0,0,48.562751463672576
0.25,0.4,3.9240000000000004,False,0.5041204860893744,48.562751463672576,2.0,0,48.562751463672576
0.25,0.5,4.905,False,0.5041204860893744,48.562751463672576,2.0,0,48.562751463672576
0.3,0.0,0.0,False,0.5042413230189344,46.451678474984,2.0,0,46.451678474984
0.3,0.1,0.9810000000000001,False,0.5042413230189344,46.46085011876836,2.0,0,46.46085011876836
0.3,0.2,1.9620000000000002,False,0.5042413230189344,46.46944462309507,2.0,0,46.46944462309507
0.3,0.3,2.943,False,0.5042413230189344,46.478083154746,2.0,0,46.478083154746
0.3,0.4,3.9240000000000004,False,0.5042413230189344,46.48757001261651,2.0,0,46.48757001261651
0.3,0.5,4.905,False,0.5042413230189344,46.49643301866149,2.0,0,46.49643301866149
